row ID,row m/z,row retention time,0_AR_Blk_C18_Pos.mzML Peak area,1_AR_Arnica_C18_Pos.mzML Peak area,2_AR_Cinchona_C18_Pos.mzML Peak area,3_AR_Ginkgo_C18_Pos.mzML Peak area,4_AR_Panax_C18_Pos.mzML Peak area,5_AR_Salvia_C18_Pos.mzML Peak area
196,247.13243817903800,7.365019150000000,2974.1768374378900,19231673.630016900,13575.558640960100,40487.215434815800,4680.520961273390,10655.06484790960
197,425.1995325782480,6.75913255,0.0,15965255.441170900,0.0,0.0,0.0,66093706.90333560
198,609.2708612960100,13.6441674,0.0,20020189.2095276,803659.1135835860,52152480.11824020,48654.73561737350,7067708.915370990
199,314.09118324549600,0.23003205,0.0,10041000.655464400,242023.7688205100,13110490.40915940,12678888.080086600,978157.0023309300
200,412.2094334854360,7.389738566666670,0.0,17566398.690314800,0.0,5009.320590058340,0.0,67110.75414357370
201,272.09432183143900,7.016773166666670,0.0,14258080.640516800,4941.116016890550,0.0,0.0,17163.465254156200
202,402.1866289786770,5.28872105,0.0,14501180.630033700,0.0,0.0,0.0,8872.231089656500
203,408.1765042343550,7.061223300000000,0.0,14507662.648687400,0.0,0.0,0.0,0.0
204,236.14893842662900,0.202349322,0.0,8203291.061501230,10935849.537093500,22497329.024440400,1043791.8467735200,256149.670929225
205,517.1340251109950,2.815830333333330,0.0,15694860.942415300,4528412.634373070,13443.53805858420,0.0,0.0
206,340.1962621401440,2.5460512666666700,0.0,11144978.428811300,0.0,0.0,317326.38021679900,195011.31699015100
207,267.1579453685320,7.0264586666666700,62284.90947500340,16074285.754853400,30986.685251750800,26847.690849890000,17046.215527066200,8066.4162144842300
208,337.04990397631300,2.9663886,0.0,14583183.566828400,0.0,2587615.9270718600,33009.88533933690,114181.29487442500
209,803.3649002010140,5.3305126,0.0,13897253.068972500,0.0,0.0,0.0,0.0
210,267.10301603333300,6.33209815,0.0,14366364.884779200,3940.7891458827600,4425.974555917910,0.0,27076.937739796700
211,333.1696807365060,6.749713933333330,0.0,15238131.492412700,0.0,5963.6765969469200,0.0,12641694.96426220
212,466.4061508549530,13.2146836,6902.88825896467,17179114.80517120,11022.603573515700,0.0,12377.125605000200,606752.2285164920
213,377.195153833991,7.882102800000000,0.0,15260015.676369300,0.0,0.0,0.0,71475.68037600260
214,274.11128705002600,7.2652967,0.0,12038666.445330400,0.0,0.0,0.0,32958.32853600000
215,732.5614942174990,17.536607,0.0,16315508.441119600,137225.89955788900,0.0,27805700.4761409,2734177.2337657400
216,273.1034706587780,6.755780500000000,0.0,13378987.68528290,0.0,0.0,0.0,17163732.97445300
217,425.3774374788610,13.1981625,0.0,16076335.887372800,4065.3331606056700,0.0,5482.143797811500,5158777.6070878
218,473.1991306997010,2.634634533333330,0.0,9809741.653356290,0.0,154629.00674431600,0.0,20448.190782245600
219,320.0944168420560,0.92647432,0.0,11144403.255398300,0.0,297210.2097798170,0.0,0.0
220,429.3727195170670,18.616852333333300,18573.69703478110,16116936.992580100,29282680.75044980,7233140.975473760,679305.394600067,3046341.2624732500
221,478.29237394491200,9.83558062,0.0,13716427.520132200,391878.3338653840,678629.6420430900,286714.3527333080,195856.8010047090
222,245.11687040180300,7.180722866666670,2086.3654796468900,14537670.860460600,26738367.23796400,2550295.2854200300,250843.09252508900,609575.2891491270
223,719.3758643142440,7.339745766666670,0.0,13743093.563417300,10372.347970055000,0.0,130862.4502328360,0.0
224,328.98082273684500,0.27245716600000000,0.0,7527449.028227590,874273.3923684600,1427214.2244197000,683762.7249314570,14343905.843243800
